,c1,c2,c3,c4,c5
93,"249,202,6","181,181,70","95,129,63","47,77,72","33,43,47"
94,"240,78,54","243,110,39","243,212,48","30,177,157","237,22,131"
95,"107,107,1","141,130,40","182,156,79","216,179,115","255,204,152"
96,"255,152,255","191,152,242","129,154,231","62,150,214","0,143,191"
97,"54,18,27","71,12,44","81,21,81","97,14,107","105,1,141"
98,"94,103,23","99,135,19","81,156,22","65,182,39","58,201,53"
99,"73,97,96","79,85,115","96,77,116","114,80,112","185,57,60"
100,"255,253,244","255,251,214","255,235,149","186,139,80","41,84,32"
101,"193,146,31","255,211,55","141,220,242","50,184,236","0,3,51"
102,"225,225,225","140,146,162","89,103,132","66,83,129","47,47,49"
103,"53,242,237","55,186,214","90,93,135","55,60,103","43,41,84"
104,"103,244,148","92,197,158","76,82,103","54,58,81","26,43,66"
105,"164,246,68","100,216,107","94,201,134","110,117,152","65,71,103"
106,"0,15,9","0,9,9","0,6,9","0,3,9","0,0,9"
107,"0,40,85","220,107,47","108,29,69","54,87,59","163,147,130"
108,"197,232,214","225,242,234","255,213,204","255,250,210","254,223,170"
109,"0,15,255","0,0,0","15,82,186","155,17,30","42,13,69"
110,"195,251,244","251,195,202","251,244,195","137,196,250","195,202,251"
111,"18,99,34","50,108,62","13,61,15","48,84,44","0,52,18"
112,"0,14,201","1,14,178","1,12,154","0,8,120","0,6,90"
113,"0,255,197","0,255,249","0,236,255","0,223,255","0,210,255"
114,"135,2,2","88,0,0","64,0,0","47,0,0","28,0,0"
115,"0,15,0","229,2,2","197,0,0","167,0,0","146,0,0"
116,"255,244,0","255,232,2","255,206,0","253,191,0","255,180,0"
117,"251,144,11","255,162,47","0,159,255","0,134,214","48,20,234"
118,"227,160,251","218,157,240","216,130,246","214,103,255","184,30,240"
119,"211,255,236","180,238,180","0,255,127","21,255,160","127,255,212"
120,"0,15,255","255,0,180","0,220,238","0,0,0","253,255,0"
121,"255,141,0","222,223,213","152,104,13","109,90,10","50,186,20"
122,"191,41,41","231,15,15","219,27,27","216,101,101","65,75,12"
123,"0,255,69","64,249,22","137,255,0","0,0,241","117,255,10"
124,"0,15,255","253,67,20","0,0,0","234,205,205","81,67,67"
125,"199,199,199","15,195,255","255,255,54","0,0,0","255,234,201"
126,"0,0,15","0,0,58","47,0,96","98,0,88","240,0,96"
127,"255,253,247","255,247,240","229,197,158","0,15,255","0,0,0"
128,"248,248,248","0,15,255","41,44,47","0,15,255","242,201,196"
129,"242,242,242","189,191,138","217,212,180","83,131,211","240,242,242"
130,"242,92,120","191,3,54","242,27,86","89,61,59","252,166,103"
131,"125,118,166","121,221,183","53,223,242","45,51,64","1,13,0"
132,"0,24,38","54,76,89","228,239,242","238,247,246","19,47,12"
133,"87,86,92","29,32,84","56,6,6","146,165,166","19,23,71"
134,"79,23,23","150,137,18","51,50,50","77,33,18","33,141,133"
135,"26,92,90","25,103,101","25,122,115","159,87,14","6,1,1"
136,"36,79,111","50,24,73","43,9,40","32,131,123","146,220,224"
137,"97,137,185","55,155,253","205,195,219","47,15,22","0,0,0"
138,"246,3,3","29,141,48","0,15,255","250,128,114","222,255,247"
139,"224,231,255","247,224,255","247,255,222","133,62,31","24,21,22"
140,"255,233,238","208,188,193","154,139,143","222,255,231","194,219,225"
141,"253,190,222","168,222,255","220,245,255","79,72,74","249,181,181"
142,"34,99,255","140,174,255","240,110,110","241,193,251","245,229,132"
143,"130,45,160","239,18,96","255,133,133","227,137,137","144,45,58"
144,"229,203,207","255,162,171","255,106,121","255,191,137","116,191,9"
145,"228,229,132","210,223,106","208,216,81","231,55,79","109,76,137"
146,"126,189,143","126,182,155","120,171,170","183,208,50","89,210,127"
147,"160,221,223","131,212,202","87,214,179","108,155,178","108,108,178"
148,"173,201,195","150,192,201","123,156,171","39,208,161","123,40,50"
149,"43,138,95","241,241,212","255,252,231","117,130,165","255,181,241"
150,"255,241,252","255,230,250","255,215,247","144,75,82","105,105,126"
151,"57,56,64","73,70,86","77,72,99","255,203,245","98,93,129"
152,"59,57,71","62,62,71","68,64,77","93,88,120","98,73,120"
153,"80,134,146","104,120,152","105,101,156","73,72,99","255,239,145"
154,"255,227,183","255,232,188","255,238,185","93,84,137","174,62,96"
155,"120,83,98","133,83,103","148,88,109","255,238,166","255,196,244"
156,"226,247,255","209,242,255","239,228,255","159,81,104","22,17,9"
157,"130,66,117","206,148,220","116,119,188","253,216,246","201,124,124"
158,"255,219,132","255,224,164","195,255,185","61,49,78","65,58,92"
159,"255,251,155","253,251,222","238,195,212","151,221,255","28,43,23"
160,"47,94,83","101,144,117","172,178,150","186,145,179","113,124,79"
161,"90,129,110","193,186,160","60,53,40","65,79,53","57,85,111"
162,"95,143,186","186,95,143","143,186,95","165,141,111","133,101,89"
163,"173,152,178","183,110,121","91,45,52","76,114,148","11,132,191"
164,"244,243,222","246,246,184","225,200,94","157,136,89","78,161,45"
165,"255,254,242","246,246,184","225,200,94","165,201,85","121,115,115"
166,"247,229,89","228,93,73","140,84,20","131,109,109","43,89,90"
167,"200,61,50","98,161,169","153,175,93","72,92,112","250,189,172"
168,"255,231,224","209,153,159","237,213,217","230,183,64","66,0,116"
169,"255,98,0","255,192,0","160,255,0","237,198,197","255,250,135"
170,"255,88,88","174,30,138","44,71,103","0,234,255","234,226,222"
171,"42,39,45","79,56,61","81,80,65","255,181,106","221,218,213"
172,"161,50,34","191,139,147","60,16,29","136,137,127","126,40,34"
173,"96,56,60","223,145,43","234,213,195","186,99,51","101,81,87"
174,"75,37,53","216,210,216","171,151,176","253,215,111","96,70,48"
175,"208,40,40","236,112,121","246,200,179","118,99,104","118,76,36"
176,"201,152,71","231,214,138","71,88,42","81,105,46","185,212,164"
177,"17,79,37","66,56,51","204,199,184","229,209,176","137,93,55"
178,"242,118,124","82,201,187","47,16,11","147,159,165","54,30,17"
179,"106,95,88","193,173,157","149,120,105","231,26,26","235,230,235"
180,"125,118,200","90,68,60","176,168,214","236,195,216","43,72,113"
181,"255,57,2","255,128,7","255,180,4","162,220,218","0,15,255"
182,"255,0,147","0,201,202","255,149,0","5,186,221","0,0,0"
183,"38,2,197","0,184,255","0,223,255","255,223,104","209,130,50"
184,"243,3,3","3,57,57","0,233,220","92,91,91","130,156,82"
185,"255,224,185","255,212,146","244,191,108","248,243,245","255,154,0"
186,"253,255,54","255,0,167","9,255,0","137,105,64","63,76,163"
187,"60,105,210","101,186,223","162,242,236","201,0,255","210,146,111"
188,"86,60,76","111,66,72","141,82,72","130,190,246","214,202,240"
189,"126,62,120","133,67,148","151,95,180","186,121,88","184,72,72"
190,"0,15,255","221,221,221","186,186,186","151,110,210","255,205,154"
191,"255,210,173","242,195,148","225,179,133","212,103,103","182,195,153"
192,"255,206,204","186,38,68","76,7,44","255,224,193","105,161,108"
193,"178,186,246","201,178,246","232,178,246","0,188,181","253,144,64"
194,"166,223,235","107,170,196","22,198,244","133,197,137","39,34,34"
195,"243,207,32","59,91,157","239,200,236","183,189,28","45,145,189"
196,"241,130,0","238,180,91","255,241,211","215,212,212","165,144,117"
197,"246,246,246","166,179,208","155,165,193","88,233,249","83,30,255"
198,"253,255,66","84,77,77","255,184,184","186,169,151","187,236,182"
199,"255,246,161","251,186,170","238,200,249","0,15,255","216,148,148"
200,"238,211,211","238,203,203","227,186,186","161,224,242","91,137,154"
201,"255,243,230","255,217,179","214,171,129","225,160,160","6,6,3"
202,"242,234,217","191,182,164","88,87,73","162,190,201","1,0,4"
203,"157,99,212","104,44,204","1,1,120","38,41,35","66,56,40"
204,"39,60,77","71,107,129","234,220,207","1,0,36","27,29,45"
205,"231,229,236","163,155,160","117,129,87","139,89,57","137,154,69"
206,"139,113,91","214,181,165","210,186,124","75,84,69","58,37,26"
207,"143,145,144","220,217,212","189,164,146","170,180,105","141,154,161"
208,"144,50,9","212,124,65","242,207,207","107,85,69","214,255,0"
209,"0,216,211","150,0,255","255,0,103","198,215,223","154,33,33"
210,"244,227,173","234,161,72","223,120,50","0,255,197","135,32,94"
211,"192,240,0","32,135,125","229,82,82","214,66,66","62,96,141"
212,"200,190,242","145,131,191","115,125,161","82,229,229","111,193,162"
213,"137,242,150","163,227,171","176,210,183","83,104,141","148,63,123"
214,"110,131,204","109,123,163","136,101,156","132,197,166","51,89,101"
215,"206,242,200","137,191,154","103,152,131","139,83,139","208,244,0"
216,"17,95,154","34,167,240","118,198,143","69,121,122","73,139,114"
217,"176,234,131","109,216,99","78,204,99","201,229,47","124,82,68"
218,"213,242,172","196,201,150","180,173,129","65,174,116","103,63,131"
219,"199,237,238","170,203,206","146,146,178","146,123,95","114,90,124"
220,"163,139,244","153,121,216","151,119,178","114,83,135","72,137,119"
221,"184,223,181","155,195,160","126,178,153","131,112,148","123,119,111"
