,c1,c2,c3,c4,c5
8092,"214,41,41","241,227,224","100,210,237","251,205,48","124,102,14"
8093,"255,218,229","208,237,225","80,202,163","215,158,255","67,32,96"
8094,"0,15,0","0,3,51","153,134,116","128,50,0","64,43,46"
8095,"0,15,0","110,218,213","72,26,56","44,60,114","173,104,132"
8096,"109,150,185","54,56,57","52,78,67","255,196,215","214,137,148"
8097,"50,189,7","233,88,0","219,137,205","255,120,249","227,249,249"
8098,"219,0,0","0,89,83","125,80,141","201,122,0","209,143,224"
8099,"227,16,16","121,189,233","236,208,124","15,255,6","168,124,111"
8100,"105,129,31","249,254,255","130,175,255","129,172,161","77,37,15"
8101,"18,24,33","94,147,64","112,100,160","236,197,182","51,49,45"
8102,"27,27,27","237,23,76","144,229,126","239,218,201","59,84,11"
8103,"46,30,10","143,235,188","255,110,67","168,206,182","255,87,51"
8104,"82,50,18","245,245,245","228,137,81","236,228,154","246,242,195"
8105,"112,61,12","160,97,0","73,91,200","214,177,19","175,151,77"
8106,"114,57,0","135,235,255","163,212,252","9,0,255","220,217,218"
8107,"214,233,255","210,207,183","95,123,104","112,18,27","39,40,40"
8108,"255,214,214","193,150,75","255,181,235","0,0,0","28,45,131"
8109,"255,226,214","232,149,255","0,212,250","0,0,0","229,170,255"
8110,"248,255,214","0,9,154","113,3,0","233,100,170","0,0,0"
8111,"218,255,231","219,166,166","155,222,252","240,62,62","255,182,204"
8112,"255,214,243","255,0,154","181,255,232","0,37,192","168,3,9"
8113,"224,214,255","255,176,147","249,255,76","255,122,0","247,255,122"
8114,"214,222,255","182,218,155","189,249,252","255,103,0","60,161,255"
8115,"86,52,152","181,216,216","142,248,232","193,202,255","0,238,229"
8116,"0,15,6","117,40,40","212,226,118","78,49,8","0,15,255"
8117,"198,181,167","74,48,48","255,180,76","224,217,220","255,185,137"
8118,"165,42,42","255,29,206","207,84,77","105,232,255","186,176,130"
8119,"8,65,92","76,63,142","254,254,254","146,222,255","0,0,0"
8120,"26,24,27","28,26,22","135,129,129","0,0,69","204,139,240"
8121,"182,198,168","8,149,166","186,165,46","98,71,0","255,189,167"
8122,"40,72,99","10,203,241","154,199,47","88,130,85","212,157,143"
8123,"39,2,21","232,219,206","32,32,32","255,171,237","197,53,53"
8124,"255,234,211","0,15,255","0,15,255","253,255,182","236,15,15"
8125,"104,163,138","124,238,53","232,234,235","1,140,0","162,231,177"
8126,"254,194,228","0,0,156","77,182,172","222,178,250","201,185,135"
8127,"240,234,198","0,69,255","36,46,126","187,187,187","122,255,178"
8128,"114,57,0","251,125,125","231,222,212","0,0,241","248,153,174"
8129,"13,16,54","0,87,186","80,155,158","0,0,63","47,105,54"
8130,"18,216,228","0,87,231","255,87,155","238,205,255","199,28,210"
8131,"245,250,200","143,216,148","103,180,155","187,187,187","90,62,33"
8132,"245,250,200","80,202,163","234,188,188","89,89,89","42,144,73"
8133,"0,152,212","234,173,234","101,57,57","35,109,167","178,57,57"
8134,"48,129,48","84,169,16","219,49,109","181,15,15","19,105,117"
8135,"49,204,232","107,82,139","0,5,69","49,157,215","0,0,0"
8136,"31,100,137","217,135,196","255,91,116","163,185,239","20,174,207"
8137,"31,131,179","244,223,198","128,128,0","203,154,49","170,170,170"
8138,"74,195,190","62,62,62","229,238,161","239,161,161","61,60,60"
8139,"74,195,190","216,157,74","254,121,255","233,227,227","170,170,170"
8140,"65,100,110","126,72,123","182,240,195","255,182,43","128,78,149"
8141,"65,100,110","184,33,82","171,240,150","253,216,19","255,246,137"
8142,"132,57,197","173,246,220","176,193,255","103,14,14","221,253,254"
8143,"128,0,0","196,234,225","255,253,253","255,249,172","137,252,0"
8144,"92,77,99","159,104,206","151,207,140","143,221,255","89,41,65"
8145,"131,32,32","232,229,229","15,97,160","232,139,101","0,15,255"
8146,"182,95,95","134,218,242","145,191,255","255,226,152","244,244,237"
8147,"0,15,255","69,25,0","0,15,255","199,199,199","226,78,27"
8148,"57,16,83","255,182,252","83,18,83","160,183,189","64,78,77"
8149,"227,202,202","142,152,138","219,190,249","83,93,108","255,181,187"
8150,"241,142,56","148,216,105","246,229,176","162,197,183","216,177,177"
8151,"197,0,0","226,247,126","249,235,203","142,14,24","231,0,35"
8152,"51,66,91","139,166,233","51,51,56","237,208,189","255,235,152"
8153,"255,225,195","0,15,153","218,251,250","255,222,191","0,15,255"
8154,"205,223,225","255,208,223","210,15,54","252,243,232","231,172,242"
8155,"242,255,173","0,15,102","0,229,238","252,246,227","0,15,255"
8156,"255,153,230","0,12,0","122,115,115","249,83,64","0,0,0"
8157,"255,232,255","255,160,160","39,163,41","255,244,250","88,47,20"
8158,"88,137,189","220,215,212","72,191,216","207,204,255","255,0,89"
8159,"225,22,36","220,215,212","255,229,93","255,239,160","157,216,234"
8160,"225,22,36","127,129,128","248,1,127","216,25,63","35,194,224"
8161,"54,7,30","111,138,137","192,0,0","0,12,187","94,210,232"
8162,"157,158,147","97,59,58","0,255,13","0,13,154","203,163,193"
8163,"253,255,0","223,211,195","252,194,140","0,235,192","255,184,51"
8164,"14,68,11","227,231,231","238,0,164","244,216,129","255,68,121"
8165,"36,205,212","163,204,255","132,2,2","210,188,171","80,118,227"
8166,"91,35,51","205,241,249","47,63,120","174,128,114","107,65,232"
8167,"155,29,32","251,141,51","255,208,223","108,71,118","165,65,232"
8168,"184,196,128","255,0,39","156,156,156","255,250,127","80,103,123"
8169,"177,221,241","246,193,193","253,204,0","0,15,255","211,176,234"
8170,"17,6,15","93,98,120","0,146,255","253,228,219","34,167,211"
8171,"36,205,212","20,3,3","211,166,87","231,188,84","0,202,255"
8172,"0,15,0","210,250,250","221,236,182","159,5,5","237,255,217"
8173,"248,248,233","115,125,127","142,185,168","123,215,236","255,255,239"
8174,"255,254,161","81,145,253","238,182,164","84,74,50","242,208,174"
8175,"0,15,255","234,173,234","46,76,93","255,205,254","221,216,171"
8176,"249,42,130","27,100,143","253,204,0","194,186,221","127,121,113"
8177,"0,15,0","158,44,44","96,187,231","187,187,187","156,121,202"
8178,"0,0,0","63,89,83","197,76,53","145,52,70","232,118,61"
8179,"56,78,127","255,166,202","0,2,34","124,175,144","88,44,127"
8180,"37,40,57","171,102,161","0,2,34","72,215,194","50,107,83"
8181,"162,199,235","139,63,0","230,117,171","106,100,100","238,96,76"
8182,"172,14,70","255,182,222","243,248,255","160,169,166","214,201,167"
8183,"64,121,117","185,100,145","250,15,15","70,62,104","238,237,232"
8184,"168,199,191","248,7,1","0,0,0","49,71,93","238,237,232"
8185,"24,26,40","97,192,173","146,0,0","77,46,99","65,42,15"
8186,"50,32,43","127,242,255","255,254,191","101,101,101","211,175,255"
8187,"138,145,93","228,135,135","255,193,235","0,90,109","207,69,255"
8188,"192,199,149","237,213,180","16,34,78","65,25,84","229,125,125"
8189,"41,41,41","110,94,123","230,239,131","210,218,219","255,214,73"
8190,"225,210,102","255,198,237","121,133,255","126,219,115","238,226,182"
8191,"33,189,173","127,1,248","48,0,117","74,75,67","229,214,187"
8192,"206,160,255","243,0,129","250,247,84","223,215,203","242,123,88"
8193,"0,255,249","243,0,129","148,255,223","116,83,69","0,15,255"
8194,"248,229,171","103,0,183","255,84,84","96,83,73","127,193,242"
8195,"50,205,50","255,200,160","255,253,108","231,255,179","248,248,248"
8196,"88,0,41","134,243,255","136,219,255","167,95,59","214,255,0"
8197,"0,0,0","255,213,213","172,180,255","109,123,152","170,170,170"
8198,"201,216,215","255,205,231","204,204,204","225,255,228","170,170,170"
8199,"50,53,96","183,164,255","0,15,175","73,172,21","255,182,190"
8200,"62,28,23","49,140,31","0,7,223","79,208,153","141,20,20"
8201,"57,36,71","0,0,0","119,14,85","246,222,255","170,170,170"
8202,"35,36,36","244,167,145","0,14,238","216,164,161","224,249,239"
8203,"184,116,79","197,219,230","187,171,26","0,0,172","239,253,187"
8204,"211,236,255","200,148,132","226,207,74","0,0,0","216,115,121"
8205,"37,16,79","184,195,187","195,72,72","166,46,0","255,175,4"
8206,"109,130,165","254,233,56","244,246,248","0,148,237","114,73,108"
8207,"53,3,43","24,24,24","226,128,80","229,124,124","233,255,150"
8208,"11,53,46","0,105,92","221,221,226","12,125,193","134,246,130"
8209,"214,214,214","183,179,239","238,243,180","0,0,0","255,220,208"
8210,"242,255,141","0,15,255","203,164,26","0,0,0","243,182,255"
8211,"138,243,231","251,194,58","73,255,85","42,57,71","230,236,213"
8212,"252,244,232","226,214,202","191,190,191","254,255,121","83,72,72"
8213,"64,217,249","51,72,89","90,12,12","254,255,123","63,63,63"
8214,"4,21,65","255,138,174","172,177,255","0,0,50","95,81,81"
8215,"219,200,185","42,88,74","255,176,143","21,32,116","135,135,135"
8216,"102,11,21","255,212,212","255,135,154","98,75,160","203,186,80"
8217,"207,236,247","73,46,46","194,178,255","13,104,3","205,50,50"
8218,"43,65,65","28,5,73","252,220,226","89,102,107","175,37,37"
8219,"62,41,0","9,7,56","12,145,164","61,57,53","234,99,99"
8220,"246,193,214","246,232,142","240,164,192","196,176,161","242,74,184"
8221,"144,119,119","128,0,0","223,191,219","191,124,145","0,15,255"
8222,"170,6,53","255,227,160","160,64,78","217,222,252","193,25,25"
8223,"0,15,6","255,177,240","220,252,217","255,135,177","124,152,123"
8224,"0,0,31","207,240,208","249,219,227","153,112,91","171,168,168"
8225,"240,248,255","246,227,107","240,242,188","49,84,35","43,43,43"
8226,"231,245,247","176,189,255","195,244,247","158,187,196","87,56,23"
8227,"0,0,0","0,0,0","249,249,64","242,184,142","105,111,111"
8228,"17,66,1","0,0,0","255,170,215","144,12,63","3,15,62"
8229,"129,14,14","145,217,215","243,204,255","246,232,196","86,86,86"
8230,"54,0,92","0,179,227","252,249,234","202,178,106","239,240,240"
8231,"246,183,0","66,133,244","0,15,238","37,31,37","0,0,0"
8232,"255,39,0","0,0,0","0,14,171","101,96,80","131,131,126"
8233,"0,15,0","0,0,0","0,15,253","253,233,170","255,228,225"
8234,"255,228,250","51,3,50","0,176,138","220,179,255","156,237,251"
8235,"95,124,42","207,190,249","244,228,129","71,6,42","166,166,166"
8236,"204,110,110","246,240,176","124,87,79","255,189,209","166,166,166"
8237,"194,243,243","249,229,203","94,69,52","254,255,251","242,242,242"
8238,"245,246,93","171,172,183","103,71,118","175,223,234","15,14,14"
8239,"88,159,214","202,251,251","255,243,127","92,177,255","118,116,195"
8240,"110,182,190","186,9,45","0,106,101","36,255,246","101,96,96"
8241,"0,0,0","234,105,19","236,216,208","255,225,251","45,45,45"
8242,"225,226,207","165,134,3","242,200,120","245,120,54","0,15,240"
8243,"255,173,218","204,62,46","163,49,49","245,120,54","0,15,255"
8244,"255,228,228","141,7,7","54,184,155","255,233,139","114,114,114"
8245,"237,244,227","239,2,0","177,59,59","182,180,133","1,58,223"
8246,"237,244,227","239,101,0","208,255,255","212,175,55","191,191,191"
8247,"0,207,212","0,15,255","255,195,207","221,167,240","211,88,247"
8248,"0,207,212","13,0,255","204,204,204","255,139,139","0,0,0"
8249,"0,0,0","255,137,231","121,136,140","229,166,114","120,134,148"
8250,"174,206,200","255,175,250","114,87,72","204,77,77","0,3,51"
8251,"148,124,148","194,0,117","2,168,160","244,244,244","255,250,231"
8252,"111,2,23","47,65,129","35,149,81","185,240,173","255,237,210"
8253,"255,177,193","255,230,238","103,159,152","185,191,139","166,212,137"
8254,"93,145,184","191,116,255","133,138,172","191,255,253","176,255,180"
8255,"163,68,111","189,0,0","90,95,34","191,107,176","249,233,136"
8256,"107,31,31","214,255,0","176,176,176","60,154,85","189,94,255"
8257,"0,0,139","231,212,163","111,28,28","111,30,197","199,169,95"
8258,"0,128,128","225,221,187","0,34,105","0,15,255","0,167,37"
8259,"175,238,238","254,251,208","12,5,92","70,181,103","10,86,27"
8260,"0,0,240","255,213,206","139,154,154","146,69,69","152,164,206"
8261,"0,0,15","63,76,88","145,222,118","20,120,135","83,182,140"
8262,"146,146,146","246,225,18","180,179,163","228,77,1","148,25,25"
8263,"146,146,146","219,154,0","131,105,101","187,187,187","116,166,136"
8264,"255,120,0","255,140,70","139,110,100","250,137,5","199,201,208"
8265,"36,160,47","27,43,126","240,238,223","144,44,44","80,73,73"
8266,"0,0,240","143,34,88","194,255,229","187,187,187","129,167,75"
8267,"0,129,0","141,110,185","65,37,23","112,111,236","174,101,101"
8268,"81,85,129","199,89,29","204,208,183","74,140,120","207,186,234"
8269,"0,2,34","10,0,0","0,231,202","224,225,233","109,71,32"
8270,"63,225,209","81,0,158","227,33,38","0,139,248","255,152,152"
8271,"229,229,229","197,197,197","134,255,252","73,132,103","165,100,0"
8272,"232,0,0","255,190,244","188,255,243","91,192,190","16,47,58"
8273,"242,131,242","31,21,3","223,213,217","114,221,247","216,180,93"
8274,"255,100,177","7,96,143","204,0,32","218,118,53","206,56,5"
8275,"0,0,240","237,237,237","191,92,157","195,66,63","250,251,244"
8276,"252,1,1","245,143,143","0,0,0","0,231,202","135,50,67"
8277,"0,7,81","1,0,70","123,224,50","93,125,150","114,0,0"
8278,"183,253,255","155,18,18","215,229,95","212,0,0","225,234,240"
8279,"0,7,86","108,151,255","85,231,169","199,231,126","182,182,182"
8280,"0,2,68","83,84,87","148,216,237","54,57,60","12,60,96"
8281,"95,59,120","237,121,255","171,33,49","255,224,149","227,183,225"
8282,"171,255,80","248,133,63","214,214,214","30,31,51","244,156,152"
8283,"0,1,18","248,184,227","225,28,98","62,96,169","170,170,170"
8284,"112,170,172","216,187,65","219,42,86","72,84,28","200,240,255"
8285,"186,127,4","56,0,56","84,158,71","129,77,25","240,206,62"
8286,"84,120,183","238,239,0","83,92,156","255,218,143","154,101,0"
8287,"7,11,69","239,99,222","69,127,186","254,104,121","193,209,253"
8288,"238,238,238","136,179,186","35,190,63","254,144,157","153,173,167"
8289,"255,250,227","145,139,61","143,129,201","219,191,184","0,236,255"
8290,"246,65,45","195,147,101","228,196,127","242,100,130","0,15,255"
8291,"201,201,201","235,244,233","216,165,160","247,118,180","47,33,33"
8292,"238,206,12","34,45,89","186,134,126","200,148,209","97,0,103"
8293,"237,139,6","245,221,135","217,252,241","102,150,253","231,240,193"
8294,"0,134,65","0,4,80","252,176,176","255,67,158","86,72,59"
8295,"183,4,62","255,185,233","155,97,98","0,0,0","99,77,69"
8296,"226,226,234","228,194,101","96,148,104","255,150,175","105,18,12"
8297,"105,152,130","255,131,206","230,183,190","243,198,203","137,161,122"
8298,"13,29,86","91,131,194","214,114,124","190,179,236","178,98,0"
8299,"21,44,67","75,10,10","0,128,128","0,247,255","7,34,61"
8300,"21,44,67","171,203,255","233,247,196","248,204,249","194,244,244"
8301,"29,56,84","202,251,251","220,202,135","249,244,204","254,255,246"
8302,"70,70,0","255,99,99","89,72,67","231,227,179","200,246,97"
8303,"134,221,42","92,74,136","193,191,181","239,211,161","251,171,215"
8304,"114,137,217","240,137,169","123,136,184","184,139,117","219,150,227"
8305,"11,64,9","62,184,197","239,203,255","255,177,0","86,71,60"
8306,"145,145,145","255,237,240","95,17,95","135,68,168","65,58,93"
8307,"121,109,92","250,240,242","255,197,215","0,193,138","0,0,0"
8308,"255,252,233","224,60,60","238,197,91","255,119,81","186,168,153"
8309,"97,128,106","150,186,147","169,191,190","116,144,121","100,100,100"
8310,"19,20,23","255,250,242","135,197,255","0,15,255","207,215,255"
8311,"12,9,13","128,155,104","126,255,250","0,15,255","112,72,99"
8312,"51,145,158","124,94,78","39,10,0","121,46,24","216,203,186"
8313,"0,255,210","252,252,194","0,15,255","186,171,255","255,166,242"
8314,"0,15,0","136,252,209","251,212,154","0,141,227","212,66,221"
8315,"0,15,0","0,15,206","184,182,133","133,121,206","0,0,0"
8316,"0,15,0","239,247,150","0,15,255","255,225,94","244,255,153"
8317,"206,239,255","0,6,69","221,184,238","118,66,22","87,225,65"
8318,"255,230,200","0,11,121","255,226,226","81,0,31","255,149,234"
8319,"236,219,255","0,15,10","199,130,107","240,242,218","152,4,4"
8320,"221,213,232","33,37,104","236,85,85","52,168,83","12,21,90"
8321,"145,0,0","226,244,129","39,126,98","255,189,189","63,240,255"
8322,"0,0,70","167,123,103","175,222,240","229,229,229","105,100,242"
8323,"0,223,255","84,82,85","163,193,139","154,152,152","255,20,20"
8324,"109,88,0","99,71,118","238,255,103","223,251,0","212,68,229"
8325,"255,103,0","255,237,127","97,86,168","187,187,187","73,121,107"
8326,"249,223,216","71,34,67","111,242,153","21,0,255","220,105,0"
8327,"197,163,121","236,202,194","253,243,23","21,0,255","243,240,224"
8328,"248,241,240","255,252,236","193,204,15","191,252,200","89,0,165"
8329,"240,249,246","193,122,122","245,159,200","255,215,215","94,189,177"
8330,"19,45,139","136,227,178","169,63,63","201,76,76","152,37,132"
8331,"37,42,43","72,66,66","68,144,156","11,244,70","217,218,253"
8332,"99,137,38","233,247,173","24,211,70","127,255,212","61,40,62"
8333,"0,121,194","238,240,225","20,120,135","23,240,15","0,0,0"
8334,"130,187,0","221,221,221","55,51,162","47,2,126","0,0,0"
8335,"174,185,191","149,224,151","28,28,136","251,242,61","0,0,0"
8336,"0,133,212","101,127,206","204,204,204","110,73,114","0,15,255"
8337,"65,118,48","62,17,128","0,167,144","200,255,102","228,246,159"
8338,"0,47,95","63,195,111","122,231,199","157,246,130","251,255,184"
8339,"203,255,208","141,212,205","231,206,227","255,211,195","249,236,207"
8340,"39,126,173","198,198,198","220,0,115","247,255,178","73,232,255"
8341,"172,0,0","55,100,33","82,183,136","126,255,154","253,175,62"
8342,"246,138,211","75,139,80","58,80,107","181,130,163","198,180,242"
8343,"206,185,149","114,36,36","128,147,241","64,76,126","122,102,93"
8344,"148,75,0","49,17,90","214,212,160","58,70,91","22,41,190"
8345,"255,155,236","111,0,0","155,197,61","112,112,112","255,243,243"
8346,"0,7,138","135,112,122","255,217,178","69,6,78","8,171,126"
8347,"231,162,162","166,228,145","126,70,165","153,64,64","44,13,34"
8348,"0,255,223","86,85,70","64,64,64","244,244,244","112,112,112"
8349,"255,127,80","148,120,110","228,249,169","91,88,103","247,220,111"
8350,"203,243,173","227,209,201","234,234,234","238,97,189","211,84,0"
8351,"196,223,221","77,66,44","184,253,163","0,14,238","169,218,255"
8352,"181,98,167","170,232,255","128,240,119","255,27,27","111,255,113"
8353,"232,32,32","230,223,204","160,190,225","219,151,82","180,47,47"
8354,"0,59,111","197,129,143","165,130,94","105,105,105","246,212,176"
8355,"193,124,171","224,216,255","209,255,217","148,146,146","255,186,54"
8356,"240,169,194","252,122,160","255,117,143","242,219,165","189,137,40"
8357,"214,58,35","179,255,203","255,209,0","135,66,28","137,131,131"
8358,"245,9,137","255,213,162","251,196,197","40,40,40","92,16,77"
8359,"238,235,230","192,223,240","242,100,130","169,169,169","111,71,44"
8360,"0,0,0","153,81,21","203,163,193","25,50,86","131,0,26"
8361,"22,146,244","225,172,137","202,205,231","159,151,151","230,240,236"
8362,"0,194,144","191,185,172","59,204,204","0,15,255","224,233,249"
8363,"0,210,255","239,235,5","255,66,193","255,117,172","158,255,109"
8364,"159,219,199","85,238,180","255,124,171","255,228,225","173,222,229"
8365,"0,121,0","227,30,30","247,166,82","215,196,29","255,176,150"
8366,"0,135,68","0,15,255","255,58,136","215,196,29","246,236,178"
8367,"0,105,0","107,64,55","255,86,159","166,166,166","234,181,184"
8368,"25,25,25","122,10,38","249,175,200","11,10,10","185,215,242"
8369,"25,25,25","67,119,229","255,131,176","128,130,161","126,225,255"
8370,"25,25,25","89,66,238","167,123,176","0,15,255","138,43,226"
8371,"25,25,25","212,29,22","223,181,181","137,137,137","3,142,180"
8372,"246,150,1","129,129,129","28,141,121","129,247,129","170,170,170"
8373,"142,113,180","45,69,92","204,228,224","255,0,13","223,195,195"
8374,"225,175,210","0,6,111","126,104,168","132,132,132","193,179,158"
8375,"224,252,184","18,42,60","204,93,0","0,15,255","230,253,110"
8376,"51,50,50","247,247,247","190,142,237","189,189,189","155,113,221"
8377,"165,37,38","244,186,186","9,102,88","47,52,126","4,7,14"
8378,"107,63,115","137,59,89","255,164,106","250,88,244","0,0,0"
8379,"168,28,102","129,171,234","167,181,155","0,15,0","0,49,28"
8380,"143,244,207","221,161,200","203,199,174","236,238,240","82,201,198"
8381,"162,232,214","206,170,150","234,212,201","0,6,147","169,137,169"
8382,"235,199,243","209,208,240","237,182,166","255,249,225","111,37,75"
8383,"202,4,38","222,228,163","171,207,255","255,235,204","45,122,97"
8384,"186,250,255","111,99,99","144,101,251","212,137,166","49,18,8"
8385,"0,69,25","255,195,0","166,200,216","181,253,185","178,172,191"
8386,"255,148,250","197,247,234","121,166,197","249,227,136","244,239,210"
8387,"212,215,193","247,232,169","167,225,114","36,34,35","135,149,223"
8388,"119,225,249","129,101,78","129,0,56","195,179,128","0,15,252"
8389,"188,240,238","110,115,131","219,160,34","60,163,103","253,253,202"
8390,"190,208,244","46,42,90","251,188,5","17,126,52","0,15,252"
8391,"0,15,204","238,230,244","232,194,255","144,149,184","0,15,252"
8392,"253,177,200","255,23,105","185,168,142","0,119,165","69,55,81"
8393,"0,15,204","255,204,219","154,154,154","176,47,47","51,36,105"
8394,"0,15,0","50,35,35","154,154,154","122,181,146","83,77,149"
8395,"255,192,192","112,140,144","238,240,0","181,199,204","51,51,113"
8396,"0,110,202","169,211,251","204,204,204","138,137,137","45,104,204"
8397,"210,130,64","198,249,247","0,15,255","45,118,50","35,82,86"
8398,"152,158,154","255,210,249","175,203,255","118,84,78","114,14,84"
8399,"130,155,144","251,143,143","255,224,224","142,192,216","43,129,109"
8400,"157,79,75","184,186,138","238,162,154","114,82,34","107,5,62"
8401,"0,14,238","227,66,52","0,0,195","255,115,142","214,66,66"
8402,"210,215,231","236,205,246","115,255,202","184,131,49","166,253,122"
8403,"200,185,228","194,243,253","22,193,6","15,242,242","83,91,107"
8404,"232,246,249","176,144,111","208,44,129","30,103,90","84,58,77"
8405,"244,158,51","255,126,126","184,55,9","223,86,40","253,242,197"
8406,"255,0,26","221,221,221","101,73,114","244,244,219","183,217,255"
8407,"255,253,216","157,189,231","164,227,51","167,67,87","240,235,216"
8408,"75,123,172","152,189,151","169,246,130","0,0,0","16,249,114"
8409,"207,33,33","147,151,152","255,207,189","174,198,215","161,242,83"
8410,"250,210,250","69,53,108","208,244,255","0,0,0","255,38,38"
8411,"217,215,178","154,214,177","81,236,132","81,28,22","255,255,229"
8412,"25,25,25","0,0,0","136,70,114","123,139,221","0,56,107"
8413,"25,25,25","135,33,33","89,85,85","252,253,123","19,92,120"
8414,"81,145,253","252,245,144","32,135,117","245,221,144","92,45,66"
8415,"136,184,238","197,46,46","75,122,153","198,245,255","4,160,219"
8416,"176,22,35","20,174,207","29,29,29","132,2,2","58,0,18"
8417,"189,8,28","255,233,63","244,244,244","118,77,1","118,214,109"
8418,"182,103,164","18,115,132","155,155,155","191,255,230","255,214,115"
8419,"244,161,192","222,206,178","156,156,156","145,124,155","92,55,17"
8420,"191,127,47","254,251,251","251,147,215","240,255,0","255,219,0"
8421,"120,223,185","221,221,221","69,69,69","219,23,42","101,114,72"
8422,"158,240,255","167,219,249","255,111,111","255,193,160","0,97,0"
8423,"141,229,252","88,53,94","210,167,139","124,223,215","95,195,92"
8424,"132,255,224","228,180,194","255,116,0","155,211,174","105,0,95"
8425,"115,215,129","4,231,98","204,204,204","167,150,123","255,251,165"
8426,"160,218,194","178,211,168","232,157,65","180,122,110","79,47,79"
8427,"141,192,255","28,37,65","208,202,146","239,240,242","251,234,133"
8428,"192,192,192","179,136,235","212,141,79","61,59,81","255,206,131"
8429,"255,226,243","101,66,54","11,97,114","97,39,15","94,60,88"
8430,"255,0,135","253,231,76","228,248,210","60,98,102","153,240,85"
8431,"44,44,44","135,231,223","0,15,255","137,230,225","152,223,185"
8432,"44,44,44","141,184,80","6,6,5","167,161,0","255,155,131"
8433,"44,44,44","28,28,28","237,21,86","251,237,104","179,118,231"
8434,"155,0,0","255,229,120","211,255,206","246,214,79","213,185,223"
8435,"255,218,166","0,0,207","50,182,203","208,82,189","155,223,160"
8436,"181,255,255","255,224,251","107,138,54","235,214,191","80,86,184"
8437,"245,1,1","64,180,136","160,88,88","123,111,146","90,70,70"
8438,"230,255,166","204,52,90","32,30,30","137,21,74","245,245,245"
8439,"83,188,172","171,88,19","126,176,174","178,147,99","255,194,209"
8440,"20,104,20","224,247,255","167,69,148","209,211,214","135,135,135"
8441,"149,218,255","233,223,220","0,15,6","0,15,0","170,170,170"
8442,"250,188,111","225,192,192","129,129,247","108,99,130","212,175,55"
8443,"140,176,199","0,15,212","154,154,154","117,112,144","202,205,251"
8444,"35,33,37","240,119,136","21,21,21","208,145,212","199,200,255"
8445,"152,137,118","65,173,171","0,0,0","170,48,193","165,58,104"
8446,"86,191,237","130,152,229","66,66,66","54,5,34","253,255,225"
8447,"15,15,15","255,40,187","0,15,255","255,74,74","255,121,84"
8448,"0,150,136","255,124,216","250,88,208","79,231,120","57,27,25"
8449,"60,70,156","134,100,253","17,216,221","253,197,197","0,15,255"
8450,"0,150,136","47,91,165","238,231,223","234,117,117","52,158,94"
8451,"251,201,234","217,197,235","0,12,144","57,48,146","33,26,33"
8452,"253,245,234","205,170,206","255,248,219","126,255,186","193,179,158"
8453,"178,199,200","161,207,215","255,231,195","160,151,255","170,170,170"
8454,"255,160,217","251,247,163","137,204,212","255,70,70","223,195,195"
8455,"26,54,45","112,78,141","189,255,193","103,229,131","169,177,154"
8456,"255,223,241","197,244,219","249,210,136","3,57,108","187,242,152"
8457,"51,39,39","29,118,107","197,126,77","255,220,115","176,0,255"
8458,"18,1,45","241,216,216","197,195,142","183,98,98","5,7,13"
8459,"11,5,49","214,195,195","46,139,159","0,15,255","170,170,170"
8460,"255,252,178","255,190,66","80,135,28","0,15,255","0,3,51"
8461,"0,0,128","156,111,218","133,140,174","0,15,255","190,203,214"
8462,"255,245,188","7,160,106","15,52,94","132,25,131","221,133,92"
8463,"221,254,255","255,119,20","182,87,46","82,18,96","182,227,196"
8464,"220,246,219","226,150,136","141,198,164","228,215,255","9,8,8"
8465,"131,69,69","186,174,158","196,212,207","79,46,68","255,215,0"
8466,"176,185,255","229,219,192","200,194,194","33,33,33","255,215,0"
8467,"0,15,255","224,219,219","9,103,58","50,50,50","130,27,83"
8468,"0,15,255","172,230,255","99,66,49","47,68,121","128,78,149"
8469,"145,181,217","52,224,238","151,225,179","37,169,240","216,152,184"
8470,"169,222,244","229,225,134","126,95,64","241,246,159","137,133,183"
8471,"37,95,219","0,132,205","217,255,244","242,249,123","234,236,23"
8472,"23,23,150","0,15,255","223,194,138","192,238,193","233,205,219"
8473,"23,23,150","219,158,29","228,45,159","148,247,255","233,205,219"
8474,"23,3,18","118,0,66","10,53,54","189,100,22","137,133,183"
8475,"195,190,249","234,67,53","69,141,99","198,196,242","0,15,255"
8476,"246,246,176","240,198,230","230,244,188","141,134,56","0,15,255"
8477,"249,221,203","0,6,102","206,93,110","22,58,190","216,152,184"
8478,"232,211,28","156,156,156","103,73,18","255,243,248","128,78,149"
8479,"251,202,202","246,236,0","109,136,139","182,45,169","208,91,133"
8480,"165,5,38","0,0,0","47,50,52","46,28,43","94,40,124"
8481,"147,9,69","213,170,255","107,119,131","112,147,100","52,9,32"
8482,"13,3,3","246,240,229","127,148,82","245,176,65","170,52,104"
8483,"219,41,175","177,203,187","255,152,82","220,118,51","89,18,63"
8484,"109,0,0","4,161,43","62,88,85","169,227,255","130,27,83"
8485,"255,220,0","85,221,169","168,240,255","152,255,111","211,130,168"
8486,"255,170,32","0,128,0","64,25,25","242,228,145","128,137,181"
8487,"0,15,0","0,221,162","0,15,255","197,125,77","246,138,65"
8488,"145,0,255","251,95,2","167,228,174","197,191,58","211,130,168"
8489,"255,201,244","91,73,114","160,160,160","129,116,103","171,183,179"
8490,"166,255,255","128,191,38","255,0,128","93,240,118","0,14,240"
