,c1,c2,c3,c4,c5,c1_feel,c1_sentiment,c2_feel,c2_sentiment,c3_feel,c3_sentiment,c4_feel,c4_sentiment,c5_feel,c5_sentiment
64,"0,15,9","0,9,9","0,6,9","0,3,9","0,0,9",,0,,0,,0,,0,,0
65,"0,40,85","220,107,47","108,29,69","54,87,59","163,147,130",,0,,0,,0,,0,,0
66,"197,232,214","225,242,234","255,213,204","255,250,210","254,223,170",,0,,0,,0,,0,,0
67,"0,15,255","0,0,0","15,82,186","155,17,30","42,13,69",,0,,0,,0,,0,,0
68,"195,251,244","251,195,202","251,244,195","137,196,250","195,202,251",,0,,0,,0,,0,,0
69,"18,99,34","50,108,62","13,61,15","48,84,44","0,52,18",,0,,0,,0,,0,,0
70,"0,14,201","1,14,178","1,12,154","0,8,120","0,6,90",,0,,0,,0,,0,,0
71,"0,255,197","0,255,249","0,236,255","0,223,255","0,210,255",,0,,0,,0,,0,,0
72,"135,2,2","88,0,0","64,0,0","47,0,0","28,0,0",,0,,0,,0,,0,,0
73,"0,15,0","229,2,2","197,0,0","167,0,0","146,0,0",,0,,0,,0,,0,,0
74,"255,244,0","255,232,2","255,206,0","253,191,0","255,180,0",,0,,0,,0,,0,,0
75,"251,144,11","255,162,47","0,159,255","0,134,214","48,20,234",,0,,0,,0,,0,,0
76,"227,160,251","218,157,240","216,130,246","214,103,255","184,30,240",,0,,0,,0,,0,,0
77,"211,255,236","180,238,180","0,255,127","21,255,160","127,255,212",,0,,0,,0,,0,,0
78,"47,94,83","101,144,117","172,178,150","65,79,53","28,43,23",,0,,0,,0,,0,,0
79,"90,129,110","193,186,160","60,53,40","165,141,111","113,124,79",,0,,0,,0,,0,,0
80,"95,143,186","186,95,143","143,186,95","76,114,148","57,85,111",,0,,0,,0,,0,,0
81,"173,152,178","183,110,121","91,45,52","157,136,89","133,101,89",,0,,0,,0,,0,,0
82,"244,243,222","246,246,184","225,200,94","165,201,85","11,132,191",,0,,0,,0,,0,,0
83,"255,254,242","246,246,184","225,200,94","131,109,109","78,161,45",,0,,0,,0,,0,,0
84,"247,229,89","228,93,73","140,84,20","72,92,112","121,115,115",,0,,0,,0,,0,,0
85,"200,61,50","98,161,169","153,175,93","230,183,64","43,89,90",,0,,0,,0,,0,,0
86,"255,231,224","209,153,159","237,213,217","237,198,197","250,189,172",,0,,0,,0,,0,,0
