,c1,c2,c3,c4,c5,c1_feel,c1_sentiment,c2_feel,c2_sentiment,c3_feel,c3_sentiment,c4_feel,c4_sentiment,c5_feel,c5_sentiment
3238,"255,238,147","185,185,185","232,189,0","123,101,0","184,152,180",,0,,0,,0,,0,,0
3239,"144,141,129","65,49,47","140,148,14","148,156,82","195,157,224",,0,,0,,0,,0,,0
3240,"204,202,249","115,132,216","132,100,158","126,103,120","162,0,236",,0,,0,,0,,0,,0
3241,"182,174,224","0,45,155","117,124,116","81,100,79","146,44,255",,0,,0,,0,,0,,0
3242,"222,211,51","139,140,88","15,207,113","46,226,250","64,49,1",,0,,0,,0,,0,,0
3243,"223,223,222","86,101,115","226,255,255","0,15,255","61,0,73",,0,,0,,0,,0,,0
3244,"147,190,234","216,169,149","30,99,76","12,88,82","0,25,69",,0,,0,,0,,0,,0
3245,"255,225,246","0,15,255","234,204,193","229,211,206","255,232,135",,0,,0,,0,,0,,0
3246,"236,9,9","131,140,57","199,164,120","30,139,48","255,90,0",,0,,0,,0,,0,,0
3247,"212,168,168","217,89,183","244,160,30","245,255,85","82,170,251",,0,,0,,0,,0,,0
3248,"219,212,175","242,212,242","255,174,50","216,188,65","69,65,65",,0,,0,,0,,0,,0
3249,"223,207,207","242,212,221","255,236,49","246,255,170","105,37,37",,0,,0,,0,,0,,0
3250,"249,242,242","3,115,115","0,15,153","118,101,84","114,169,191",,0,,0,,0,,0,,0
3251,"204,81,0","229,114,94","146,105,113","165,118,118","0,0,204",,0,,0,,0,,0,,0
3252,"195,127,124","236,86,21","0,15,173","255,190,220","251,241,218",,0,,0,,0,,0,,0
3253,"161,181,223","213,240,246","158,162,67","82,139,55","100,88,54",,0,,0,,0,,0,,0
3254,"47,19,19","231,234,182","66,0,63","80,61,131","241,222,124",,0,,0,,0,,0,,0
3255,"216,238,226","255,252,202","115,210,128","255,213,246","76,69,85",,0,,0,,0,,0,,0
3256,"219,249,134","218,255,229","232,230,233","117,120,129","219,217,6",,0,,0,,0,,0,,0
3257,"0,15,255","207,192,213","117,108,125","134,151,133","255,95,95",,0,,0,,0,,0,,0
3258,"244,244,205","231,206,201","186,186,186","112,255,244","120,102,76",,0,,0,,0,,0,,0
3259,"234,40,40","25,52,127","245,180,180","245,219,219","40,148,160",,0,,0,,0,,0,,0
3260,"150,80,115","161,149,255","15,146,31","47,109,33","175,93,189",,0,,0,,0,,0,,0
3261,"229,195,209","0,15,255","70,197,73","45,159,27","74,74,74",,0,,0,,0,,0,,0
3262,"183,17,216","53,106,0","213,50,50","232,184,7","253,226,255",,0,,0,,0,,0,,0
3263,"233,180,76","88,17,56","0,0,0","0,15,255","82,50,73",,0,,0,,0,,0,,0
3264,"222,238,90","221,140,140","1,205,254","5,255,161","71,25,34",,0,,0,,0,,0,,0
3265,"253,242,134","123,209,234","71,8,8","39,19,19","184,102,0",,0,,0,,0,,0,,0
3266,"238,238,238","102,104,41","108,59,44","148,176,164","54,93,126",,0,,0,,0,,0,,0
3267,"233,242,188","255,211,126","189,152,224","141,144,226","255,250,204",,0,,0,,0,,0,,0
3268,"221,134,134","238,219,223","17,78,232","228,228,228","255,195,120",,0,,0,,0,,0,,0
3269,"216,59,59","212,234,206","144,37,81","183,144,40","159,99,59",,0,,0,,0,,0,,0
3270,"83,231,69","253,229,172","231,126,255","224,87,255","0,0,0",,0,,0,,0,,0,,0
3271,"105,59,12","64,158,219","255,109,109","255,95,95","252,213,14",,0,,0,,0,,0,,0
3272,"138,175,46","193,195,47","123,0,0","181,255,104","216,216,216",,0,,0,,0,,0,,0
3273,"183,150,150","2,2,2","123,0,0","0,15,246","126,212,112",,0,,0,,0,,0,,0
3274,"36,211,225","186,175,127","241,239,121","223,65,103","30,57,40",,0,,0,,0,,0,,0
3275,"193,193,193","0,96,98","0,3,204","11,45,36","170,170,170",,0,,0,,0,,0,,0
3276,"65,65,57","255,206,156","221,126,158","255,219,0","229,178,81",,0,,0,,0,,0,,0
3277,"76,60,255","43,103,56","11,45,42","255,148,14","170,170,170",,0,,0,,0,,0,,0
3278,"195,195,195","165,182,212","251,192,12","184,12,12","133,0,255",,0,,0,,0,,0,,0
3279,"166,88,102","253,253,253","221,82,6","80,96,91","154,82,163",,0,,0,,0,,0,,0
3280,"13,12,12","255,161,218","244,75,75","173,216,163","0,15,255",,0,,0,,0,,0,,0
3281,"83,104,150","255,143,104","85,116,66","0,12,12","192,154,214",,0,,0,,0,,0,,0
3282,"24,24,24","0,86,1","173,242,137","131,193,106","227,221,163",,0,,0,,0,,0,,0
3283,"107,115,45","208,143,152","0,12,9","227,136,251","193,193,193",,0,,0,,0,,0,,0
3284,"191,38,79","184,137,149","36,66,13","37,28,72","244,235,217",,0,,0,,0,,0,,0
3285,"241,160,242","255,214,250","176,140,246","191,9,16","183,189,190",,0,,0,,0,,0,,0
3286,"191,143,147","151,121,90","121,28,42","172,167,206","19,31,47",,0,,0,,0,,0,,0
3287,"57,60,64","129,76,197","217,16,98","228,176,61","90,123,238",,0,,0,,0,,0,,0
3288,"227,97,97","0,15,174","219,172,172","255,0,232","24,21,21",,0,,0,,0,,0,,0
3289,"221,82,6","203,166,137","151,207,204","80,0,255","108,77,111",,0,,0,,0,,0,,0
3290,"219,249,251","72,64,112","183,0,99","0,0,0","216,255,105",,0,,0,,0,,0,,0
3291,"237,242,195","255,47,47","86,68,169","79,0,124","238,140,58",,0,,0,,0,,0,,0
3292,"255,253,217","0,15,255","73,62,0","174,172,172","165,244,72",,0,,0,,0,,0,,0
3293,"191,206,255","46,131,38","105,0,85","255,240,88","170,170,170",,0,,0,,0,,0,,0
3294,"126,119,142","139,199,93","52,141,44","253,121,32","0,0,0",,0,,0,,0,,0,,0
3295,"246,228,221","127,198,17","249,238,0","38,60,227","159,0,0",,0,,0,,0,,0,,0
3296,"0,0,2","185,207,204","193,59,2","32,31,31","181,201,146",,0,,0,,0,,0,,0
3297,"165,113,255","185,103,255","19,14,152","114,70,33","223,162,111",,0,,0,,0,,0,,0
3298,"84,80,80","120,72,32","24,8,8","201,221,216","245,209,110",,0,,0,,0,,0,,0
3299,"103,0,0","50,17,8","117,69,118","255,192,87","149,171,219",,0,,0,,0,,0,,0
3300,"133,41,83","239,166,182","240,170,123","42,69,50","230,231,232",,0,,0,,0,,0,,0
3301,"246,156,156","228,247,20","0,3,207","62,120,66","170,170,170",,0,,0,,0,,0,,0
3302,"135,221,234","176,216,218","224,226,225","235,191,114","170,170,170",,0,,0,,0,,0,,0
3303,"120,17,18","235,143,255","80,100,71","227,232,230","244,195,195",,0,,0,,0,,0,,0
3304,"255,235,152","255,120,120","119,192,140","219,163,6","139,84,84",,0,,0,,0,,0,,0
3305,"242,228,231","145,0,0","249,196,20","0,15,102","250,196,148",,0,,0,,0,,0,,0
3306,"220,240,216","145,0,0","241,190,131","58,54,36","35,65,107",,0,,0,,0,,0,,0
3307,"251,238,183","241,198,138","255,113,113","73,162,172","13,32,169",,0,,0,,0,,0,,0
3308,"229,93,130","0,0,249","61,236,132","176,104,228","85,74,66",,0,,0,,0,,0,,0
3309,"175,182,66","215,159,175","80,169,157","255,216,74","116,74,32",,0,,0,,0,,0,,0
3310,"130,119,130","11,39,45","87,61,105","232,206,228","0,15,255",,0,,0,,0,,0,,0
3311,"137,173,132","238,253,5","255,232,102","129,83,85","17,12,12",,0,,0,,0,,0,,0
3312,"49,216,167","244,98,34","215,188,232","141,46,46","255,154,0",,0,,0,,0,,0,,0
3313,"255,156,156","178,38,38","195,178,153","66,40,0","47,100,47",,0,,0,,0,,0,,0
3314,"80,135,68","75,99,79","152,152,97","107,90,122","255,182,208",,0,,0,,0,,0,,0
3315,"122,146,169","124,204,112","135,82,0","236,255,240","194,254,193",,0,,0,,0,,0,,0
3316,"255,133,133","0,12,6","189,105,129","255,103,103","86,136,233",,0,,0,,0,,0,,0
3317,"87,240,53","102,227,129","255,218,198","184,115,45","222,108,197",,0,,0,,0,,0,,0
3318,"255,106,106","190,158,255","208,255,153","0,12,204","122,149,255",,0,,0,,0,,0,,0
3319,"193,255,201","160,45,46","216,208,159","183,0,0","232,245,252",,0,,0,,0,,0,,0
3320,"144,98,104","19,49,111","6,55,68","0,0,0","219,219,219",,0,,0,,0,,0,,0
3321,"221,150,150","180,212,184","0,183,183","167,219,118","81,72,178",,0,,0,,0,,0,,0
3322,"255,141,141","128,173,211","0,80,129","92,116,91","216,255,225",,0,,0,,0,,0,,0
3323,"142,79,79","192,0,201","202,231,119","150,64,180","79,79,79",,0,,0,,0,,0,,0
3324,"83,19,98","136,133,215","225,199,199","240,194,137","227,219,186",,0,,0,,0,,0,,0
3325,"176,255,95","111,62,0","0,0,0","38,38,38","216,230,179",,0,,0,,0,,0,,0
3326,"237,28,36","103,0,116","0,15,221","0,205,255","61,170,225",,0,,0,,0,,0,,0
3327,"204,199,119","36,9,0","144,85,162","236,242,244","49,49,49",,0,,0,,0,,0,,0
3328,"109,16,16","255,206,0","222,255,0","239,111,255","244,234,222",,0,,0,,0,,0,,0
3329,"138,237,217","199,40,0","39,33,79","164,159,219","55,79,47",,0,,0,,0,,0,,0
3330,"31,118,28","0,2,146","71,216,213","191,219,188","120,137,84",,0,,0,,0,,0,,0
3331,"202,246,103","21,3,3","167,145,229","214,214,214","79,21,21",,0,,0,,0,,0,,0
3332,"46,82,9","47,105,77","196,227,214","150,3,26","141,208,240",,0,,0,,0,,0,,0
3333,"136,100,81","225,182,77","229,228,228","54,48,31","129,118,93",,0,,0,,0,,0,,0
3334,"255,113,206","0,15,54","0,110,182","213,207,193","120,88,111",,0,,0,,0,,0,,0
3335,"197,139,30","40,57,97","159,112,61","111,140,240","191,0,125",,0,,0,,0,,0,,0
3336,"204,136,91","107,132,124","175,195,183","39,39,39","73,232,255",,0,,0,,0,,0,,0
3337,"243,198,242","154,132,175","122,148,238","90,71,105","141,89,89",,0,,0,,0,,0,,0
3338,"31,36,57","182,59,59","0,0,128","233,255,116","4,4,4",,0,,0,,0,,0,,0
3339,"243,208,204","252,226,132","71,56,99","242,253,154","246,136,53",,0,,0,,0,,0,,0
3340,"235,167,255","255,126,126","255,250,134","205,246,112","0,15,255",,0,,0,,0,,0,,0
3341,"255,142,142","67,174,56","76,151,208","55,21,84","238,171,125",,0,,0,,0,,0,,0
3342,"95,34,34","123,169,149","229,249,156","0,41,255","102,165,92",,0,,0,,0,,0,,0
3343,"255,161,161","168,16,128","125,29,144","141,0,0","43,35,90",,0,,0,,0,,0,,0
3344,"0,15,54","106,165,255","0,15,255","163,153,95","80,94,94",,0,,0,,0,,0,,0
3345,"255,221,235","136,132,255","120,0,0","71,45,19","176,219,251",,0,,0,,0,,0,,0
3346,"11,32,45","219,235,192","141,156,97","255,217,0","170,170,170",,0,,0,,0,,0,,0
3347,"255,245,12","116,112,32","95,163,92","160,214,117","151,219,98",,0,,0,,0,,0,,0
3348,"236,86,21","86,52,0","239,192,80","0,15,255","196,212,255",,0,,0,,0,,0,,0
3349,"214,17,17","244,116,130","235,242,118","187,187,187","134,82,73",,0,,0,,0,,0,,0
3350,"73,109,76","225,195,238","246,245,245","187,187,187","19,20,89",,0,,0,,0,,0,,0
3351,"131,212,99","255,245,147","202,140,255","255,208,208","199,169,181",,0,,0,,0,,0,,0
3352,"206,3,53","114,71,5","188,150,193","190,174,127","0,15,15",,0,,0,,0,,0,,0
3353,"229,226,226","242,106,43","255,215,233","246,79,49","195,208,255",,0,,0,,0,,0,,0
3354,"149,106,255","245,245,245","241,237,178","255,103,76","206,240,109",,0,,0,,0,,0,,0
3355,"166,50,62","55,0,126","252,166,151","51,74,244","135,78,90",,0,,0,,0,,0,,0
3356,"1,153,176","208,221,102","236,207,138","207,165,79","103,1,1",,0,,0,,0,,0,,0
3357,"165,214,221","246,233,233","151,223,229","208,138,32","144,103,140",,0,,0,,0,,0,,0
3358,"213,60,60","52,149,156","207,101,79","201,201,201","170,170,170",,0,,0,,0,,0,,0
3359,"121,0,206","155,156,214","8,133,130","128,0,32","170,170,170",,0,,0,,0,,0,,0
3360,"115,0,255","229,164,203","154,35,35","255,219,0","21,36,89",,0,,0,,0,,0,,0
3361,"105,90,0","255,0,188","131,141,147","39,66,126","84,46,113",,0,,0,,0,,0,,0
3362,"38,0,71","134,59,135","168,45,255","255,207,234","118,55,82",,0,,0,,0,,0,,0
3363,"0,51,9","206,199,55","197,185,159","255,215,220","233,237,222",,0,,0,,0,,0,,0
3364,"0,15,255","202,145,255","255,156,156","94,139,225","40,45,72",,0,,0,,0,,0,,0
3365,"131,33,0","181,218,219","207,250,255","215,115,193","170,170,170",,0,,0,,0,,0,,0
3366,"133,133,133","244,244,244","101,141,218","0,0,0","153,116,193",,0,,0,,0,,0,,0
3367,"0,0,0","145,145,145","208,122,189","233,245,251","0,15,0",,0,,0,,0,,0,,0
3368,"84,112,150","221,171,74","158,0,73","96,172,101","255,0,193",,0,,0,,0,,0,,0
3369,"174,110,31","104,105,97","234,245,250","116,117,182","255,187,105",,0,,0,,0,,0,,0
3370,"0,15,102","134,157,238","0,97,0","240,222,255","150,121,208",,0,,0,,0,,0,,0
3371,"97,36,36","179,0,0","171,181,255","109,108,108","152,12,12",,0,,0,,0,,0,,0
3372,"120,152,122","53,51,96","192,197,255","0,0,0","240,228,114",,0,,0,,0,,0,,0
3373,"212,99,122","249,214,131","131,131,131","90,116,67","176,255,232",,0,,0,,0,,0,,0
3374,"34,117,142","116,177,244","0,15,255","144,79,217","132,29,98",,0,,0,,0,,0,,0
3375,"247,247,192","245,253,182","61,1,1","152,152,152","101,70,105",,0,,0,,0,,0,,0
3376,"255,144,144","72,21,89","183,83,61","122,185,222","0,3,51",,0,,0,,0,,0,,0
3377,"27,81,29","255,0,128","237,249,255","220,108,32","202,207,133",,0,,0,,0,,0,,0
3378,"168,198,135","99,0,0","132,191,207","129,157,103","255,231,76",,0,,0,,0,,0,,0
3379,"102,2,60","126,135,78","133,41,44","148,0,0","120,88,111",,0,,0,,0,,0,,0
3380,"117,183,255","226,236,62","168,127,130","175,225,244","229,249,224",,0,,0,,0,,0,,0
3381,"93,87,107","255,213,0","0,15,255","60,156,61","254,255,234",,0,,0,,0,,0,,0
3382,"203,212,194","223,173,96","0,15,255","24,154,168","239,246,224",,0,,0,,0,,0,,0
3383,"105,8,8","40,40,40","0,15,255","174,14,110","237,207,142",,0,,0,,0,,0,,0
3384,"107,65,0","169,183,255","0,15,0","204,163,255","167,101,113",,0,,0,,0,,0,,0
3385,"248,177,149","228,215,246","196,229,242","0,0,241","47,41,99",,0,,0,,0,,0,,0
3386,"200,229,229","255,229,239","99,208,101","122,47,47","224,224,224",,0,,0,,0,,0,,0
3387,"255,169,169","89,50,50","170,211,86","12,1,41","0,0,9",,0,,0,,0,,0,,0
3388,"206,153,88","250,236,148","148,22,92","216,94,66","16,189,19",,0,,0,,0,,0,,0
3389,"239,56,73","127,167,221","90,55,135","219,163,96","37,0,129",,0,,0,,0,,0,,0
3390,"37,37,37","242,195,221","255,0,231","219,163,96","170,170,170",,0,,0,,0,,0,,0
3391,"0,11,163","254,241,222","169,66,66","38,11,107","0,15,255",,0,,0,,0,,0,,0
3392,"210,205,79","0,107,23","73,62,102","238,77,91","124,0,255",,0,,0,,0,,0,,0
3393,"243,232,232","81,81,81","102,182,93","167,155,119","139,117,105",,0,,0,,0,,0,,0
3394,"126,4,4","0,96,128","160,163,174","84,65,109","118,0,0",,0,,0,,0,,0,,0
3395,"179,185,227","0,255,171","242,94,46","253,227,148","247,254,214",,0,,0,,0,,0,,0
3396,"137,2,62","212,212,212","131,71,71","185,197,255","170,170,170",,0,,0,,0,,0,,0
3397,"3,255,0","0,15,221","117,180,227","0,15,255","255,231,0",,0,,0,,0,,0,,0
3398,"76,23,90","254,255,215","249,212,124","165,195,246","25,20,56",,0,,0,,0,,0,,0
3399,"161,24,24","108,143,211","203,240,160","142,170,227","129,176,155",,0,,0,,0,,0,,0
3400,"176,148,195","201,129,185","246,208,71","90,21,21","243,88,68",,0,,0,,0,,0,,0
3401,"183,214,210","0,15,255","251,211,88","89,89,89","174,223,206",,0,,0,,0,,0,,0
3402,"0,15,255","235,244,249","112,146,216","197,183,179","130,154,178",,0,,0,,0,,0,,0
3403,"72,61,63","178,28,14","140,61,61","0,0,15","186,219,214",,0,,0,,0,,0,,0
3404,"241,221,111","201,235,255","17,3,3","213,237,249","204,178,178",,0,,0,,0,,0,,0
3405,"121,118,109","255,244,199","192,195,164","240,234,109","255,227,227",,0,,0,,0,,0,,0
3406,"155,174,242","161,161,161","0,0,240","160,214,175","161,141,104",,0,,0,,0,,0,,0
3407,"255,215,0","125,186,245","255,240,240","88,1,1","101,119,144",,0,,0,,0,,0,,0
3408,"34,53,94","249,168,36","58,42,161","26,156,153","237,238,232",,0,,0,,0,,0,,0
3409,"255,199,128","45,46,48","193,244,202","187,187,187","223,182,172",,0,,0,,0,,0,,0
3410,"152,200,255","3,143,210","73,0,0","187,187,187","122,77,102",,0,,0,,0,,0,,0
3411,"255,253,210","255,182,185","255,143,166","187,187,187","208,101,28",,0,,0,,0,,0,,0
3412,"54,9,89","10,35,81","42,81,164","106,102,163","107,75,75",,0,,0,,0,,0,,0
3413,"0,0,80","123,31,70","204,204,204","129,92,116","0,15,255",,0,,0,,0,,0,,0
3414,"71,0,0","30,144,255","99,100,109","92,128,188","0,15,255",,0,,0,,0,,0,,0
3415,"93,118,80","255,124,124","132,169,192","93,105,138","234,181,149",,0,,0,,0,,0,,0
3416,"225,166,92","211,231,234","149,150,193","187,187,187","117,204,255",,0,,0,,0,,0,,0
3417,"255,252,0","216,170,208","231,226,71","98,97,157","36,15,15",,0,,0,,0,,0,,0
3418,"229,125,119","253,221,93","149,217,235","0,223,255","227,224,148",,0,,0,,0,,0,,0
3419,"193,39,45","111,18,98","0,0,0","255,218,139","180,109,145",,0,,0,,0,,0,,0
3420,"246,141,255","138,228,41","113,133,181","193,89,206","210,176,179",,0,,0,,0,,0,,0
3421,"201,49,49","255,244,0","199,0,0","135,15,15","253,143,106",,0,,0,,0,,0,,0
3422,"0,15,255","61,94,47","255,154,0","244,215,122","98,129,116",,0,,0,,0,,0,,0
3423,"38,1,1","191,179,219","0,145,210","189,253,215","148,24,255",,0,,0,,0,,0,,0
3424,"208,237,240","66,124,68","0,15,255","140,35,117","255,207,202",,0,,0,,0,,0,,0
3425,"184,231,165","16,20,19","206,77,148","105,86,135","114,61,8",,0,,0,,0,,0,,0
3426,"144,153,154","16,20,19","122,4,4","103,103,103","128,134,171",,0,,0,,0,,0,,0
3427,"255,250,239","219,191,77","242,197,128","140,186,128","255,215,122",,0,,0,,0,,0,,0
3428,"184,0,0","210,94,22","204,253,198","255,89,100","85,43,96",,0,,0,,0,,0,,0
3429,"0,0,0","150,74,74","153,46,140","123,158,168","207,204,225",,0,,0,,0,,0,,0
3430,"0,128,96","143,224,255","116,119,159","163,247,181","134,214,115",,0,,0,,0,,0,,0
3431,"60,255,132","226,226,227","167,169,172","201,201,201","249,222,138",,0,,0,,0,,0,,0
3432,"0,15,255","234,132,132","101,142,156","174,195,176","225,200,140",,0,,0,,0,,0,,0
3433,"255,198,198","191,44,52","246,246,246","222,196,161","55,161,225",,0,,0,,0,,0,,0
3434,"251,220,255","255,175,54","111,208,140","195,141,148","51,167,201",,0,,0,,0,,0,,0
3435,"116,146,203","85,115,180","64,201,162","69,67,114","0,35,149",,0,,0,,0,,0,,0
3436,"194,136,181","95,47,47","252,252,98","170,174,142","255,215,204",,0,,0,,0,,0,,0
3437,"162,155,226","31,99,26","89,131,146","0,9,153","139,71,137",,0,,0,,0,,0,,0
3438,"236,244,248","201,219,184","208,171,160","0,6,48","0,235,146",,0,,0,,0,,0,,0
3439,"71,10,10","0,15,240","216,220,255","159,128,0","139,71,137",,0,,0,,0,,0,,0
3440,"225,248,255","249,194,194","112,135,127","0,255,184","2,64,61",,0,,0,,0,,0,,0
3441,"255,206,206","25,120,156","130,142,130","187,187,187","190,152,39",,0,,0,,0,,0,,0
3442,"195,195,195","131,98,98","0,3,51","55,115,255","0,0,0",,0,,0,,0,,0,,0
3443,"86,133,223","56,0,0","0,0,96","253,255,0","190,191,111",,0,,0,,0,,0,,0
3444,"0,15,128","241,234,218","20,234,0","253,200,200","90,55,135",,0,,0,,0,,0,,0
3445,"216,206,205","82,113,217","237,88,255","193,0,0","245,245,245",,0,,0,,0,,0,,0
3446,"8,95,137","221,221,221","204,204,204","96,190,152","0,0,0",,0,,0,,0,,0,,0
3447,"41,136,188","77,89,122","0,55,171","187,187,187","56,47,47",,0,,0,,0,,0,,0
3448,"255,222,0","179,203,185","0,255,107","255,219,0","27,19,255",,0,,0,,0,,0,,0
3449,"232,205,212","153,206,214","244,244,244","36,37,77","255,206,0",,0,,0,,0,,0,,0
3450,"247,247,247","158,144,162","255,173,0","200,201,168","254,255,125",,0,,0,,0,,0,,0
3451,"193,138,138","243,198,184","32,39,36","249,201,8","161,119,119",,0,,0,,0,,0,,0
3452,"232,244,243","216,69,129","0,96,128","143,193,193","186,48,48",,0,,0,,0,,0,,0
3453,"227,202,222","111,164,170","255,193,0","161,169,193","229,145,75",,0,,0,,0,,0,,0
3454,"144,12,63","0,0,0","56,51,86","107,184,193","249,249,245",,0,,0,,0,,0,,0
3455,"94,2,67","0,0,0","250,205,168","199,166,174","170,170,170",,0,,0,,0,,0,,0
3456,"0,15,255","163,0,255","170,211,86","203,201,225","124,169,107",,0,,0,,0,,0,,0
3457,"0,15,255","167,215,255","205,223,205","171,154,127","92,25,13",,0,,0,,0,,0,,0
3458,"0,15,255","68,66,71","176,186,195","127,150,171","144,12,63",,0,,0,,0,,0,,0
3459,"42,73,47","206,72,106","196,212,188","242,222,229","44,82,155",,0,,0,,0,,0,,0
3460,"211,200,240","114,14,14","212,186,195","234,198,191","170,170,170",,0,,0,,0,,0,,0
3461,"32,72,56","238,168,110","246,245,202","144,103,140","126,110,123",,0,,0,,0,,0,,0
3462,"135,157,184","222,255,184","182,158,139","86,46,20","116,130,118",,0,,0,,0,,0,,0
3463,"131,72,72","162,49,159","162,168,182","169,42,42","0,5,85",,0,,0,,0,,0,,0
3464,"161,33,35","104,159,149","234,232,205","187,187,187","201,140,135",,0,,0,,0,,0,,0
3465,"109,124,133","250,121,33","231,214,209","120,120,121","0,205,249",,0,,0,,0,,0,,0
3466,"49,37,90","77,83,130","26,156,153","255,212,140","255,141,0",,0,,0,,0,,0,,0
3467,"253,171,245","53,167,255","255,236,207","175,242,230","106,216,2",,0,,0,,0,,0,,0
3468,"240,86,86","205,223,160","174,101,101","32,21,19","77,103,132",,0,,0,,0,,0,,0
3469,"16,46,130","47,156,149","32,90,143","238,210,45","102,69,31",,0,,0,,0,,0,,0
3470,"242,169,137","163,163,163","234,34,45","70,176,109","111,55,171",,0,,0,,0,,0,,0
3471,"0,0,0","18,69,89","236,19,27","214,194,198","59,191,154",,0,,0,,0,,0,,0
3472,"146,98,98","194,140,174","255,66,66","255,162,99","102,146,60",,0,,0,,0,,0,,0
3473,"99,83,26","174,173,240","18,15,32","32,76,57","53,84,56",,0,,0,,0,,0,,0
3474,"201,234,185","196,167,125","204,123,0","188,71,255","60,47,60",,0,,0,,0,,0,,0
3475,"0,15,0","96,123,125","21,138,141","255,215,202","27,52,66",,0,,0,,0,,0,,0
3476,"255,174,165","173,161,149","213,211,214","96,38,6","212,190,36",,0,,0,,0,,0,,0
3477,"254,255,81","0,12,204","255,185,114","220,209,221","170,170,170",,0,,0,,0,,0,,0
3478,"255,231,231","244,255,64","222,112,112","255,183,123","93,91,134",,0,,0,,0,,0,,0
3479,"43,0,0","77,215,255","249,73,224","36,25,105","255,106,136",,0,,0,,0,,0,,0
3480,"255,162,99","221,221,221","255,228,213","195,221,229","33,62,192",,0,,0,,0,,0,,0
3481,"228,85,37","0,36,114","96,25,17","100,206,150","82,47,30",,0,,0,,0,,0,,0
3482,"215,215,215","0,223,255","63,71,104","255,195,103","247,246,243",,0,,0,,0,,0,,0
3483,"238,238,238","189,166,154","255,172,125","36,168,186","212,150,204",,0,,0,,0,,0,,0
3484,"221,216,184","242,240,240","70,45,133","26,28,8","88,52,7",,0,,0,,0,,0,,0
3485,"177,244,231","223,65,24","202,227,197","253,221,93","56,48,111",,0,,0,,0,,0,,0
3486,"39,41,50","128,0,32","115,186,221","222,56,49","255,221,212",,0,,0,,0,,0,,0
3487,"229,146,162","255,154,0","255,162,66","0,12,254","2,0,0",,0,,0,,0,,0,,0
3488,"69,216,156","81,84,103","43,43,12","255,255,89","237,216,246",,0,,0,,0,,0,,0
3489,"148,200,198","255,156,152","193,144,122","255,255,89","255,252,235",,0,,0,,0,,0,,0
3490,"234,0,0","24,154,168","21,36,89","255,255,71","255,200,253",,0,,0,,0,,0,,0
3491,"0,0,0","181,223,214","0,122,77","20,56,80","197,197,197",,0,,0,,0,,0,,0
3492,"0,15,255","130,164,180","187,235,255","221,235,255","4,28,9",,0,,0,,0,,0,,0
3493,"0,15,255","213,229,213","0,235,146","30,16,72","5,142,217",,0,,0,,0,,0,,0
3494,"0,15,255","223,205,214","0,171,255","218,219,148","155,197,157",,0,,0,,0,,0,,0
3495,"73,203,193","219,229,251","5,255,161","164,131,210","64,112,118",,0,,0,,0,,0,,0
3496,"206,98,98","204,180,157","117,73,86","13,12,78","190,231,232",,0,,0,,0,,0,,0
3497,"101,0,0","180,191,195","174,216,207","0,94,221","11,122,117",,0,,0,,0,,0,,0
3498,"234,146,99","238,229,209","50,26,123","99,22,22","36,59,74",,0,,0,,0,,0,,0
3499,"238,255,169","242,230,225","54,79,56","0,0,0","210,90,151",,0,,0,,0,,0,,0
3500,"163,55,172","255,143,166","255,250,244","91,171,67","255,219,150",,0,,0,,0,,0,,0
3501,"137,174,109","159,104,0","220,51,30","207,251,255","248,251,198",,0,,0,,0,,0,,0
3502,"86,100,57","111,0,0","198,0,0","131,87,87","170,170,170",,0,,0,,0,,0,,0
3503,"81,70,99","45,138,202","36,8,56","195,55,55","244,242,226",,0,,0,,0,,0,,0
3504,"56,97,140","29,175,143","197,240,202","234,136,94","70,69,90",,0,,0,,0,,0,,0
3505,"230,199,156","34,58,97","255,64,0","184,184,193","119,8,12",,0,,0,,0,,0,,0
3506,"102,65,71","255,92,72","197,194,216","129,174,112","169,201,236",,0,,0,,0,,0,,0
3507,"66,66,66","39,58,64","182,249,255","107,11,11","253,100,4",,0,,0,,0,,0,,0
3508,"1,22,30","64,124,45","124,69,69","199,0,57","57,38,103",,0,,0,,0,,0,,0
3509,"186,123,161","64,103,186","212,66,66","144,62,110","216,209,22",,0,,0,,0,,0,,0
3510,"86,86,118","212,226,229","234,126,90","187,187,187","181,197,169",,0,,0,,0,,0,,0
3511,"239,148,108","255,197,109","201,145,153","143,143,143","181,204,163",,0,,0,,0,,0,,0
3512,"58,96,110","84,124,164","135,178,116","238,192,164","170,170,170",,0,,0,,0,,0,,0
3513,"0,15,255","255,71,182","124,28,28","0,6,102","141,131,131",,0,,0,,0,,0,,0
3514,"0,15,255","255,241,224","0,15,255","119,190,154","232,232,253",,0,,0,,0,,0,,0
3515,"0,15,255","86,9,9","0,15,255","0,210,255","255,107,107",,0,,0,,0,,0,,0
3516,"208,255,30","139,77,89","0,15,255","253,150,22","208,40,108",,0,,0,,0,,0,,0
3517,"255,66,152","255,151,145","255,195,0","104,231,4","170,170,170",,0,,0,,0,,0,,0
3518,"66,66,66","58,108,133","174,131,181","240,252,196","34,121,0",,0,,0,,0,,0,,0
3519,"242,146,0","234,224,202","144,165,122","114,76,32","235,182,135",,0,,0,,0,,0,,0
3520,"255,0,219","132,162,227","107,129,106","76,26,129","16,251,0",,0,,0,,0,,0,,0
